band,year,species,beaklength,beakdepth
2,1975,fortis,9.4,8
9,1975,fortis,9.2,8.3
12,1975,fortis,9.5,7.5
15,1975,fortis,9.5,8
305,1975,fortis,11.5,9.9
307,1975,fortis,11.1,8.6
308,1975,fortis,9.9,8.4
309,1975,fortis,11.5,9.8
311,1975,fortis,10.8,9.2
312,1975,fortis,11.3,9
313,1975,fortis,11.5,9.5
314,1975,fortis,11.5,8.9
315,1975,fortis,9.7,8.8
316,1975,fortis,10.9,9.7
316,1975,fortis,10.9,9.85
320,1975,fortis,10.1,8.9
321,1975,fortis,10.6,8.5
323,1975,fortis,9.6,8.2
324,1975,fortis,10.3,9.3
326,1975,fortis,10.5,9.1
328,1975,fortis,10.5,8.8
329,1975,fortis,10.9,9.4
330,1975,fortis,11.2,9.6
340,1975,fortis,9.4,8.5
341,1975,fortis,10.1,8.1
342,1975,fortis,9.6,8
343,1975,fortis,10.5,9.7
344,1975,fortis,9.9,8.2
345,1975,fortis,9.9,8.4
346,1975,fortis,9.6,7.9
347,1975,fortis,10.7,9.3
348,1975,fortis,11.8,10.5
349,1975,fortis,10.2,9.7
350,1975,fortis,10.9,9.6
352,1975,fortis,9.3,7.7
354,1975,fortis,11.6,9.8
355,1975,fortis,11.2,9.8
356,1975,fortis,10.1,8.5
360,1975,fortis,10.7,9.2
366,1975,fortis,11,10.1
368,1975,fortis,10.8,9
369,1975,fortis,10.2,9
401,1975,fortis,10.8,9.4
402,1975,fortis,10.4,8.8
403,1975,fortis,11.2,9.9
405,1975,fortis,11.4,9.9
410,1975,fortis,10.9,8.9
411,1975,fortis,10.4,9.4
413,1975,fortis,9.7,8.2
414,1975,fortis,10.2,8.2
415,1975,fortis,9.2,8.1
416,1975,fortis,10.1,8.4
417,1975,fortis,11,10.1
418,1975,fortis,10.3,8.6
419,1975,fortis,10.2,8.5
420,1975,fortis,11,9.7
422,1975,fortis,11,10.3
423,1975,fortis,10.1,8.6
424,1975,fortis,10.7,9.3
425,1975,fortis,10.7,8.9
426,1975,fortis,11,9.7
427,1975,fortis,12,10.2
428,1975,fortis,11.6,10.2
450,1975,fortis,9.9,8.5
451,1975,fortis,10.8,8.8
452,1975,fortis,10.5,8.9
453,1975,fortis,10,8.7
454,1975,fortis,9.6,9.3
